Location,Date,EmpHours,CarsServ,Pmix_perc,Big5_perc,BayTimes
1402,23-Feb,,,,,
1403,23-Feb,,,,,
1404,23-Feb,,,,,
1405,23-Feb,1180.00,747,0.87,0.41,12
1407,23-Feb,,,,,
1881,23-Feb,,,,,
1402,23-Mar,,,,,
1403,23-Mar,,,,,
1404,23-Mar,,,,,
1405,23-Mar,1653.00,846,0.86,0.48,10
1407,23-Mar,,,,,
1881,23-Mar,,,,,
1402,23-Apr,,,,,
1403,23-Apr,,,,,
1404,23-Apr,,60,0.81,0.41,12
1405,23-Apr,1393.00,751,0.87,0.46,10
1407,23-Apr,,,,,
1881,23-Apr,,,,,
1402,23-May,,,,,
1403,23-May,,,,,
1404,23-May,957.00,548,0.81,0.39,11
1405,23-May,929.00,726,0.85,0.42,9
1407,23-May,,,,,
1881,23-May,,,,,
1402,23-Jun,,,,,
1403,23-Jun,,,,,
1404,23-Jun,863.00,578,0.78,0.48,10
1405,23-Jun,819.00,891,0.9,0.47,9
1407,23-Jun,,,,,
1881,23-Jun,,,,,
1402,23-Jul,,,,,
1403,23-Jul,,,,,
1404,23-Jul,867.00,564,0.79,0.42,11
1405,23-Jul,844.00,945,0.86,0.54,9
1407,23-Jul,,,,,
1881,23-Jul,,,,,
1402,23-Aug,,,,,
1403,23-Aug,,,,,
1404,23-Aug,907.00,426,0.73,0.36,10
1405,23-Aug,1082.00,899,0.83,0.6,8
1407,23-Aug,,,,,
1881,23-Aug,,,,,
1402,23-Sep,,,,,
1403,23-Sep,453.00,572,0.77,0.43,11
1404,23-Sep,1132.00,479,0.77,0.4,10
1405,23-Sep,2263.00,884,0.88,0.56,9
1407,23-Sep,,,,,
1881,23-Sep,,,,,
1402,23-Oct,,,,,
1403,23-Oct,1350.00,890,0.79,0.5,11
1404,23-Oct,683.00,504,0.83,0.55,11
1405,23-Oct,916.00,860,0.85,0.69,9
1407,23-Oct,,,,,
1881,23-Oct,,,,,
1402,23-Nov,,155,0.88,0.43,11
1403,23-Nov,2146.00,944,0.82,0.46,11
1404,23-Nov,735.00,430,0.82,0.71,12
1405,23-Nov,881.00,819,0.88,0.73,8
1407,23-Nov,,,,,
1881,23-Nov,,,,,
1402,23-Dec,382.00,442,0.87,0.43,11
1403,23-Dec,2402.00,804,0.94,0.51,8
1404,23-Dec,620.00,437,0.85,0.69,10
1405,23-Dec,826.00,834,0.84,0.73,8
1407,23-Dec,,,,,
